"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","npv1","npv2"
"160","MNI Fishery","Aluterus scriptus","30& MPA",1,"CS","no_illegal_fishing",2,66069.6610490808,0
"161","MNI Fishery","Anisotremus surinamensis","BAU",1,"no_CS","illegal_fishing",2,15067.3208389048,0
"162","MNI Fishery","Anisotremus surinamensis","30& MPA",1,"no_CS","illegal_fishing",2,16914.5086082893,0
"163","MNI Fishery","Anisotremus surinamensis","BAU",1,"CS","illegal_fishing",2,15067.3208389048,0
"164","MNI Fishery","Anisotremus surinamensis","30& MPA",1,"CS","illegal_fishing",2,16914.5086082893,0
"165","MNI Fishery","Anisotremus surinamensis","BAU",1,"no_CS","no_illegal_fishing",2,15067.3208389048,0
"166","MNI Fishery","Anisotremus surinamensis","30& MPA",1,"no_CS","no_illegal_fishing",2,16914.5086082893,0
"167","MNI Fishery","Anisotremus surinamensis","BAU",1,"CS","no_illegal_fishing",2,15067.3208389048,0
"168","MNI Fishery","Anisotremus surinamensis","30& MPA",1,"CS","no_illegal_fishing",2,16914.5086082893,0
"169","MNI Fishery","Archosargus rhomboidalis","BAU",1,"no_CS","illegal_fishing",2,150506.890745015,0
"170","MNI Fishery","Archosargus rhomboidalis","30& MPA",1,"no_CS","illegal_fishing",2,136985.600382899,0
"171","MNI Fishery","Archosargus rhomboidalis","BAU",1,"CS","illegal_fishing",2,150506.890745015,0
"172","MNI Fishery","Archosargus rhomboidalis","30& MPA",1,"CS","illegal_fishing",2,136985.600382899,0
"173","MNI Fishery","Archosargus rhomboidalis","BAU",1,"no_CS","no_illegal_fishing",2,150506.890745015,0
"174","MNI Fishery","Archosargus rhomboidalis","30& MPA",1,"no_CS","no_illegal_fishing",2,136985.600382899,0
"175","MNI Fishery","Archosargus rhomboidalis","BAU",1,"CS","no_illegal_fishing",2,150506.890745015,0
"176","MNI Fishery","Archosargus rhomboidalis","30& MPA",1,"CS","no_illegal_fishing",2,136985.600382899,0
"177","MNI Fishery","Balistes vetula","BAU",1,"no_CS","illegal_fishing",2,706400.440798836,0
"178","MNI Fishery","Balistes vetula","30& MPA",1,"no_CS","illegal_fishing",2,728546.335778705,0
"179","MNI Fishery","Balistes vetula","BAU",1,"CS","illegal_fishing",2,706400.440798836,0
"180","MNI Fishery","Balistes vetula","30& MPA",1,"CS","illegal_fishing",2,728546.335778705,0
"181","MNI Fishery","Balistes vetula","BAU",1,"no_CS","no_illegal_fishing",2,706400.440798836,0
"182","MNI Fishery","Balistes vetula","30& MPA",1,"no_CS","no_illegal_fishing",2,728546.335778705,0
"183","MNI Fishery","Balistes vetula","BAU",1,"CS","no_illegal_fishing",2,706400.440798836,0
"184","MNI Fishery","Balistes vetula","30& MPA",1,"CS","no_illegal_fishing",2,728546.335778705,0
"185","MNI Fishery","Bodianus rufus","BAU",1,"no_CS","illegal_fishing",2,2354.48346517587,0
"186","MNI Fishery","Bodianus rufus","30& MPA",1,"no_CS","illegal_fishing",2,3099.90253449849,0
"187","MNI Fishery","Bodianus rufus","BAU",1,"CS","illegal_fishing",2,2354.48346517587,0
"188","MNI Fishery","Bodianus rufus","30& MPA",1,"CS","illegal_fishing",2,3099.90253449849,0
"189","MNI Fishery","Bodianus rufus","BAU",1,"no_CS","no_illegal_fishing",2,2354.48346517587,0
"190","MNI Fishery","Bodianus rufus","30& MPA",1,"no_CS","no_illegal_fishing",2,3099.90253449849,0
"191","MNI Fishery","Bodianus rufus","BAU",1,"CS","no_illegal_fishing",2,2354.48346517587,0
"192","MNI Fishery","Bodianus rufus","30& MPA",1,"CS","no_illegal_fishing",2,3099.90253449849,0
"193","MNI Fishery","Calamus bajonado","BAU",1,"no_CS","illegal_fishing",2,101939.854268841,0
"194","MNI Fishery","Calamus bajonado","30& MPA",1,"no_CS","illegal_fishing",2,94989.2592620104,0
"195","MNI Fishery","Calamus bajonado","BAU",1,"CS","illegal_fishing",2,101939.854268841,0
"196","MNI Fishery","Calamus bajonado","30& MPA",1,"CS","illegal_fishing",2,94989.2592620104,0
"197","MNI Fishery","Calamus bajonado","BAU",1,"no_CS","no_illegal_fishing",2,101939.854268841,0
"198","MNI Fishery","Calamus bajonado","30& MPA",1,"no_CS","no_illegal_fishing",2,94989.2592620104,0
