"","species","management","time","biomass","harvest1","profit1","BvBMSY","FvFMSY1","FvFMSYtotal"
"3243","Epinephelus adscensionis","BAU",22,2078.86945608782,17.8140560196273,391.9092324318,0.486454388920417,0.506146297243075,0.506146297243075
"3244","Epinephelus adscensionis","30% MPA",22,2172.41767640128,13.0309765485651,286.681484068431,0.508344624603043,0.354302408070153,0.354302408070153
"3245","Epinephelus adscensionis","BAU",23,2119.9701946861,18.1662526704047,399.657558748904,0.496071940720244,0.506146297243075,0.506146297243075
"3246","Epinephelus adscensionis","30% MPA",23,2219.53298835583,13.3135918724171,292.899021193177,0.519369583490446,0.354302408070153,0.354302408070153
"3247","Epinephelus adscensionis","BAU",24,2161.26874835024,18.5201444197631,407.443177234788,0.505735781144256,0.506146297243075,0.506146297243075
"3248","Epinephelus adscensionis","30% MPA",24,2266.9587476739,13.5980693760689,299.157526273516,0.53046718690205,0.354302408070153,0.354302408070153
"3249","Epinephelus adscensionis","BAU",25,2202.75191948809,18.8756181761153,415.263599874537,0.515442821962644,0.506146297243075,0.506146297243075
"3250","Epinephelus adscensionis","30% MPA",25,2314.67903867649,13.8843135913045,305.454899008699,0.541633710577112,0.354302408070153,0.354302408070153
"3251","Epinephelus adscensionis","BAU",26,2244.40647645849,19.2325605561048,423.116332234306,0.525189966978147,0.506146297243075,0.506146297243075
"3252","Epinephelus adscensionis","30% MPA",26,2362.67781164037,14.1722282458604,311.789021408929,0.552865398888611,0.354302408070153,0.354302408070153
"3253","Epinephelus adscensionis","BAU",27,2286.21916876796,19.5908580148274,430.998876326204,0.53497411558207,0.506146297243075,0.506146297243075
"3254","Epinephelus adscensionis","30% MPA",27,2410.9389036268,14.461716388364,318.157760544008,0.564158469717153,0.354302408070153,0.354302408070153
"3255","Epinephelus adscensionis","BAU",28,2328.17674201593,19.9503969738988,438.908733425773,0.544792166251464,0.506146297243075,0.506146297243075
"3256","Epinephelus adscensionis","30% MPA",28,2459.44605915582,14.7526805123456,324.558971271603,0.575509119288744,0.354302408070153,0.354302408070153
"3257","Epinephelus adscensionis","BAU",29,2370.26595256245,20.3110639471432,446.843406837151,0.554641019981355,0.506146297243075,0.506146297243075
"3258","Epinephelus adscensionis","30% MPA",29,2508.18295068163,15.0450226790577,330.990498939268,0.586913526966022,0.354302408070153,0.354302408070153
"3259","Epinephelus adscensionis","BAU",30,2412.47358189368,20.6727456636937,454.800404601262,0.564517583646273,0.506146297243075,0.506146297243075
"3260","Epinephelus adscensionis","30% MPA",30,2557.13319882633,15.3386446388443,337.450182054575,0.598367859982943,0.354302408070153,0.354302408070153
"3261","Epinephelus adscensionis","BAU",31,2454.78645066244,21.0353291883064,462.77724214274,0.57441877328572,0.506146297243075,0.506146297243075
"3262","Epinephelus adscensionis","30% MPA",31,2606.28039233131,15.633447950817,343.935854917974,0.609868278113386,0.354302408070153,0.354302408070153
"3263","Epinephelus adscensionis","BAU",32,2497.19143238214,21.3987020387053,470.771444851516,0.584341517308548,0.506146297243075,0.506146297243075
